"Galaxy name" "RAJ2000 (deg)" "DEJ2000 (deg)" "D25 semi-major axis (arcmin)" "D25 semi-minor axis (arcmin)" "D25 positional angle, North-to-Northeast (deg)" "Inclination angle (deg)" "Luminosity distance (Mpc)" logSFR_HEC logM_HEC mean_exposure_Hr
UGC04393 126.518238 45.967615 0.796 0.527 50.3 49.86 13.5933 -0.977 9.009 23.22
NGC2608 128.821582 28.473466 0.977 0.476 64.5 64.32 20.6075 -0.186 10.1284 14.16
NGC2591 129.35637 78.026413 1.476 0.322 33.0 82.85 20.1108 -0.254 10.0212 82.21
PGC024936 133.222848 51.39656 0.53 0.294 72.9 90.0 12.2535 -1.986 7.6713 26.43
NGC2681 133.38633 51.313765 1.986 1.986 0.0 0.0 16.4958 -0.098 10.692 28.24
NGC2685 133.8946 58.734394 2.163 1.156 38.0 68.4 13.2647 -1.44 10.1346 34.22
NGC2750 136.44968 25.43749 1.016 0.728 81.5 45.41 11.2155 -0.556 9.4616 20.05
NGC2748 138.429291 76.475333 1.3 0.557 38.7 68.13 19.4414 0.258 10.319 52.13
PGC026326 139.717562 50.187877 0.337 0.292 75.2 43.47 12.7582 -2.04 8.3959 28.01
NGC2787 139.826811 69.203306 1.618 0.904 113.5 66.12 7.4173 -1.636 10.0661 49.24
PGC026462 140.276667 70.698306 0.308 0.251 35.0 47.04 17.1748 -0.32 9.3914 34.41
NGC2841 140.511066 50.976618 3.451 1.656 147.0 65.32 14.513 -0.032 11.1295 26.09
UGC05083 143.080734 0.315959 0.601 0.125 74.0 90.0 16.7994 -1.447 9.061 12.42
UGC05151 145.112572 48.337665 0.33 0.28 15.8 35.59 15.1152 -1.075 8.9664 21.34
NGC2976 146.814611 67.916263 2.884 1.503 143.0 60.48 3.5601 -0.934 9.3241 45.59
NGC3049 148.706706 9.271404 1.054 0.608 27.8 58.02 18.9111 -0.307 9.8008 13.84
NGC3027 148.918917 72.203625 1.675 0.634 128.4 69.91 17.1585 -0.665 9.365 42.21
IC2520 149.083804 27.227612 0.439 0.37 56.7 35.28 19.7059 -0.122 9.6692 17.72
NGC3067 149.587874 32.36989 1.028 0.329 104.1 81.55 20.3323 0.332 10.3115 11.17
NGC3077 150.828609 68.73411 2.606 2.158 48.7 34.78 3.8046 -0.954 9.3864 46.78
PGC029198 151.036375 6.510487 0.22 0.143 175.2 56.63 10.5196 -2.312 7.94 6.43
NGC3057 151.413632 80.285686 0.723 0.458 8.0 58.32 17.0993 -1.03 9.0068 101.41
PGC029756 153.219953 22.722008 0.34 0.166 114.5 64.62 20.0 -1.324 8.7537 5.3
NGC3166 153.440411 3.424825 2.249 1.422 87.2 56.17 19.5333 0.077 10.9284 11.25
PGC029990 154.065167 41.166403 0.464 0.176 66.7 90.0 10.5686 -2.05 8.2497 21.05
PGC030061 154.415386 22.809388 0.426 0.195 168.9 70.36 18.9539 -1.29 9.159 17.48
NGC3198 154.978848 45.549724 3.228 0.92 30.3 77.84 14.3922 0.037 10.4354 24.24
UGC05588 155.238074 25.364921 0.277 0.19 40.5 47.9 20.3932 -0.558 9.4398 16.8
NGC3206 155.448228 56.93041 1.151 0.583 7.5 61.14 18.7311 -0.71 9.3151 18.23
NGC3239 156.270305 17.163701 1.807 1.807 0.0 46.77 8.0538 -0.969 8.7568 17.94
PGC030770 156.923086 24.271664 0.268 0.233 47.5 33.0 19.6355 -1.774 8.1645 17.64
NGC3274 158.07183 27.668788 0.813 0.405 93.4 61.59 13.3678 -0.953 9.1861 14.46
UGC05720 158.132847 54.401041 0.571 0.429 129.3 46.74 15.417 -0.278 9.4352 29.46
NGC3252 158.596384 73.765013 0.937 0.332 36.2 90.0 20.8893 -0.594 9.7678 64.33
NGC3287 158.697075 21.648271 0.891 0.425 17.6 75.31 15.3986 -0.495 9.6934 18.57
NGC3319 159.789455 41.686761 1.815 0.883 37.7 62.67 13.6493 -1.029 9.4738 22.79
UGC05832 160.70197 13.459861 0.547 0.376 90.4 48.29 18.6209 -0.995 9.0036 15.98
UGC05833 160.77498 20.42226 0.597 0.211 148.5 90.0 20.5971 -0.785 9.4136 9.68
PGC032049 161.151788 21.666247 0.45 0.239 36.3 65.94 18.9171 -1.655 8.9069 18.06
NGC3353 161.343312 55.960365 0.679 0.489 75.7 45.47 18.1134 -0.082 9.4534 30.1
NGC3365 161.552466 1.813303 2.018 0.343 159.5 90.0 17.1458 -0.556 9.7187 16.1
NGC3359 161.65347 63.224151 2.037 1.416 167.4 47.16 19.7722 0.223 10.3745 27.47
NGC3389 162.11636 12.533163 1.34 0.592 103.9 66.16 20.0592 -0.009 10.0538 13.01
PGC032348 162.223904 14.124514 0.42 0.29 66.8 62.54 8.8206 -2.284 7.8523 6.38
UGC05923 162.281538 6.917337 0.433 0.191 171.2 72.46 16.6725 -1.177 9.0904 17.17
