Galaxy name	RAJ2000 (deg)	DEJ2000 (deg)	D25 semi-major axis (arcmin)	D25 semi-minor axis (arcmin)	D25 positional angle, North-to-Northeast (deg)	Inclination angle (deg)	Luminosity distance (Mpc)	logSFR_HEC	logM_HEC	mean_exposure_Hr
PGC1458456	29.685474	14.45211	0.167	0.099	28.8	55.07	1.2447	-3.601	6.2212	13.93
PGC1466120	180.062302	14.747552	0.136	0.101	149.0	42.48	3.154	-2.934	6.8681	18.27
PGC1495467	174.234035	15.880185	0.144	0.144	0.0	25.12	2.6772	-3.698	6.8092	11.39
PGC1514594	239.453744	16.687073	0.187	0.131	41.5	46.73	4.0188	-2.552	7.0899	17.22
PGC1525610	119.580849	17.141626	0.108	0.078	124.8	45.07	1.7126	-4.031	5.5591	17.4
PGC1530472	122.573646	17.341627	0.101	0.101	0.0	25.47	1.5537	-3.917	5.7432	4.18
PGC1542712	120.604291	17.824815	0.112	0.112	0.0	37.41	1.607	-3.902	5.77	11.51
PGC1546014	117.465733	17.946806	0.151	0.127	4.2	33.37	1.9336	-3.882	6.9455	19.49
PGC1547136	130.924605	17.988163	0.143	0.118	127.1	35.23	1.769	-3.462	6.3099	19.2
PGC1659838	176.387168	21.915687	0.144	0.107	21.5	42.53	4.1874	-3.231	6.3324	14.87
PGC1672707	207.306608	22.589863	0.176	0.157	85.6	29.9	17.9195	-2.302	8.0584	13.29
PGC1679813	118.272279	23.009211	0.132	0.1	173.2	41.47	2.5343	-3.483	6.5467	8.24
PGC1687001	157.95713	23.41742	0.156	0.123	133.7	42.31	19.5063	-1.737	8.2832	17.13
PGC1694314	152.371107	23.819825	0.257	0.178	97.9	47.04	3.6851	-2.382	7.5592	18.55
PGC1695322	152.783891	23.87523	0.237	0.182	156.4	46.72	20.5474	-1.839	8.5219	14.14
PGC1715136	174.372864	24.741823	0.136	0.121	152.4	27.43	3.9694	-2.842	7.0467	14.43
PGC1724473	171.827964	25.067297	0.191	0.111	142.8	55.77	2.6055	-2.981	6.9315	19.91
PGC1758552	246.718438	25.997752	0.152	0.12	149.4	38.51	4.0543	-3.113	7.5122	6.47
PGC1785176	210.792248	26.689402	0.122	0.074	112.4	54.21	3.9743	-3.586	6.5285	20.12
PGC1795712	239.327362	27.026405	0.237	0.164	83.3	47.32	4.0679	-3.01	7.3209	18.61
PGC1798414	124.853542	27.123397	0.164	0.126	114.7	41.02	1.7027	-3.304	6.6912	21.06
PGC1811934	124.282094	27.568664	0.147	0.081	125.0	57.8	2.4615	-2.897	7.0463	17.56
PGC1812371	244.628092	27.583536	0.167	0.133	125.0	37.91	4.2103	-2.955	7.1788	16.36
PGC1871876	233.548531	29.609589	0.238	0.212	115.9	27.45	4.4447	-2.545	7.5155	18.15
PGC1874400	202.657575	29.683452	0.12	0.12	0.0	26.22	3.6518	-2.721	6.901	17.44
PGC1886977	201.383666	30.018636	0.131	0.09	143.3	47.74	4.0258	-3.507	6.8105	17.58
PGC1917813	228.578969	30.783012	0.104	0.104	0.0	18.44	3.8103	-3.157	6.6298	16.34
PGC1917922	248.515177	30.785878	0.17	0.17	0.0	12.45	2.8162	-3.376	6.7155	17.38
PGC1918395	165.764339	30.796074	0.15	0.128	19.6	46.02	4.6779	-2.752	6.71	15.17
PGC1923444	200.328318	30.913001	0.121	0.099	30.5	36.3	3.9745	-3.309	6.9309	16.96
PGC1932567	230.636293	31.119771	0.117	0.089	82.0	40.77	2.4261	-3.572	6.1107	10.86
PGC1955747	239.399518	31.615513	0.147	0.147	0.0	17.55	3.3776	-3.294	6.9612	17.52
PGC1963229	178.04922	31.764244	0.123	0.104	130.0	33.31	3.3243	-3.222	6.6386	15.84
PGC1992015	258.839625	32.3345	0.177	0.177	0.0	27.45	4.2545	-3.384	7.3541	15.17
PGC2017400	238.037171	32.921135	0.122	0.084	51.1	47.2	4.1138	-3.327	7.2106	16.99
PGC2043954	218.736737	34.107977	0.167	0.095	117.3	56.53	3.549	-2.661	7.0213	22.01
PGC2056505	185.567756	34.911485	0.124	0.103	7.2	34.17	3.8851	-2.981	7.0282	22.0
PGC2140269	230.162225	38.948646	0.207	0.151	40.7	43.91	3.1408	-2.998	7.2414	19.66
PGC2185706	111.489454	41.718776	0.132	0.132	0.0	32.43	1.6414	-3.592	5.6424	13.51
PGC2230983	207.774911	43.864004	0.104	0.085	14.6	35.9	4.261	-3.332	6.9705	17.86
PGC2245249	212.711337	44.480518	0.112	0.112	0.0	20.52	3.8741	-2.858	6.7912	17.28
PGC2308426	184.38342	47.995202	0.275	0.2	177.4	48.87	14.885	-2.151	8.2157	16.22
PGC2314534	210.896199	48.301175	0.116	0.094	11.0	36.31	4.2483	-3.312	7.1691	24.85
PGC2327676	124.861293	48.870808	0.11	0.091	70.6	34.35	3.2752	-3.539	6.7843	18.13
PGC2330680	142.751967	48.993128	0.155	0.155	0.0	26.55	3.7298	-3.093	6.8583	26.65
PGC2333578	208.318813	49.103394	0.153	0.134	87.2	29.33	4.2372	-3.393	7.1353	23.64
PGC2349239	126.036111	49.648537	0.163	0.124	151.2	40.96	3.4633	-2.878	6.5334	19.02
PGC2356938	175.883522	49.904235	0.115	0.094	39.0	35.42	4.3341	-3.384	6.2127	22.7
PGC2364843	138.452554	50.164838	0.12	0.074	40.1	52.93	2.9943	-2.69	6.8532	28.06
PGC2374774	118.11951	50.499468	0.126	0.091	128.0	44.48	3.2031	-3.267	6.5356	28.54
PGC2397637	227.05132	51.65043	0.126	0.111	114.5	28.66	3.7564	-3.616	6.4581	26.8
PGC2426029	227.628905	52.877555	0.189	0.134	36.5	45.87	4.0769	-3.059	7.1404	30.86
PGC2469453	131.593755	54.432178	0.114	0.095	59.8	34.6	3.2828	-3.735	6.5837	31.48
PGC2481858	130.589112	54.8343	0.114	0.114	0.0	44.63	4.037	-3.488	6.3976	31.69
PGC2492054	180.458864	55.145057	0.312	0.253	99.9	52.98	19.3353	-1.672	8.2475	24.23
PGC2561873	173.850741	57.278799	0.171	0.13	121.5	41.47	3.9266	-3.408	6.9049	29.34
PGC2816013	186.272527	61.153113	0.323	0.268	135.9	37.77	15.5318	-1.338	8.265	37.53
PGC3087333	196.382741	50.306711	0.238	0.201	151.9	32.86	3.7496	-3.444	7.3861	20.07
PGC3088794	233.355892	33.547402	0.187	0.141	18.4	41.56	4.1706	-2.905	7.0269	11.12
PGC3089529	239.033261	25.066269	0.191	0.191	0.0	21.22	4.2367	-2.621	7.5973	18.87
PGC3290480	175.516948	-1.271903	0.133	0.082	172.1	53.32	1.8589	-3.656	5.6626	8.72
2MASXJ07383683+4557446	114.653347	45.962485	0.072	0.059	124.2	35.6	3.4097	-2.768	6.913	21.51
2MASXJ08115779+1618298	122.990782	16.308259	0.244	0.213	103.3	29.99	1.3161	-3.464	6.3674	10.09
2MASXJ08244812+1847352	126.200475	18.793321	0.247	0.151	54.8	53.37	2.6257	-3.227	6.647	16.92
2MASXJ08293978+4223525	127.415808	42.39804	0.094	0.069	152.2	43.45	2.5436	-3.443	6.3865	24.78
2MASXJ09013736+2223400	135.405527	22.394583	0.138	0.078	124.7	57.16	2.3914	-3.052	6.5404	19.35
2MASXJ09063513+5314170	136.646459	53.238051	0.149	0.149	0.0	25.16	2.8801	-3.389	6.4868	29.67
2MASXJ09194324+2704405	139.930086	27.077909	0.11	0.093	33.2	32.97	3.0386	-3.141	6.7079	19.46
2MASXJ10233975+6204124	155.915738	62.07013	0.079	0.079	0.0	16.71	4.2478	-3.547	7.0222	13.61
2MASXJ10422184+4747254	160.59114	47.790189	0.113	0.063	63.1	57.16	3.7384	-2.961	6.9419	23.55
2MASXJ11535151-0223104	178.464768	-2.386236	0.074	0.059	54.8	38.01	1.5139	-3.607	6.124	16.62
2MASXJ12154983+2749367	183.95788	27.826819	0.294	0.213	79.3	44.48	3.7715	-3.194	7.5351	3.82
2MASXJ12573462+3213340	194.394334	32.226157	0.065	0.055	15.1	33.78	3.566	-3.242	6.7976	11.63
2MASXJ13185482+1045453	199.728371	10.762547	0.066	0.066	0.0	21.41	3.6165	-3.51	7.1111	12.02
2MASXJ13220220+0333178	200.509138	3.555054	0.101	0.091	2.8	26.06	2.6518	-3.635	6.7197	17.32
2MASXJ13405082+2625119	205.211524	26.420045	0.097	0.097	0.0	22.78	3.6934	-3.443	7.0273	15.97
2MASXJ13535595+2633550	208.48329	26.565284	0.145	0.08	99.8	57.84	4.2471	-2.824	6.9683	6.65
2MASXJ14390055+2209230	219.75218	22.15647	0.109	0.09	132.7	35.56	4.3097	-3.123	6.8768	11.27
2MASXJ14590859+0311248	224.785933	3.190256	0.177	0.148	78.8	33.52	3.4463	-2.978	6.8345	11.34
2MASXJ15052513+3651563	226.35478	36.86586	0.191	0.144	174.0	41.87	4.1239	-3.722	7.2988	22.93
2MASXJ15361146+3314516	234.0477	33.247634	0.069	0.069	0.0	18.87	4.2999	-3.405	6.9441	17.74
2MASXJ15403221+2722258	235.134394	27.373941	0.114	0.081	165.3	45.35	3.8928	-3.072	6.9662	6.9
2MASXJ16153083+2812428	243.878649	28.211921	0.157	0.1	131.8	51.89	4.1657	-3.067	7.0414	10.63
2MASXJ16340492+2324399	248.520578	23.411082	0.242	0.242	0.0	21.61	3.5701	-3.062	6.9902	12.02
SDSSJ072547.14+403249.5	111.446454	40.547144	0.147	0.082	46.6	57.78	3.1319	-3.494	6.2467	11.22
SDSSJ083741.39+273221.5	129.422502	27.53941	0.116	0.088	144.9	41.03	2.6761	-3.627	6.0677	17.71
SDSSJ085226.81+142502.8	133.111845	14.417507	0.11	0.073	97.8	49.13	1.5669	-4.187	5.71	13.43
SDSSJ085436.69+180552.9	133.652986	18.098028	0.099	0.099	0.0	19.79	1.666	-3.705	5.6105	16.06
SDSSJ085446.95+300333.0	133.695762	30.059218	0.145	0.094	112.4	50.6	2.6313	-3.501	5.8603	17.81
SDSSJ090417.97+043227.3	136.074723	4.540923	0.106	0.076	93.2	45.39	1.2842	-4.123	6.1776	13.92
SDSSJ092958.79+490213.5	142.495081	49.037153	0.158	0.139	42.9	28.92	3.8638	-3.002	6.3463	26.74
SDSSJ100149.80+032816.6	150.457674	3.471414	0.087	0.051	44.5	55.09	2.5834	-3.258	6.2113	15.01
SDSSJ101003.09+503959.8	152.512887	50.666541	0.153	0.122	149.7	37.99	1.6876	-3.853	5.3318	22.72
SDSSJ101220.20+265243.8	153.084371	26.878925	0.122	0.085	86.5	47.08	3.39	-3.514	6.5439	9.3
SDSSJ101742.38+513629.5	154.426663	51.60816	0.091	0.069	23.8	41.73	3.8971	-3.104	6.8667	17.73
SDSSJ103617.97+450402.7	159.074921	45.067391	0.143	0.106	49.3	43.02	3.4083	-3.226	6.6652	21.82
SDSSJ103707.65+464228.1	159.282018	46.707866	0.121	0.072	30.5	54.8	2.6457	-3.423	5.6634	26.09
SDSSJ105131.18+170640.1	162.8799	17.111169	0.112	0.071	42.3	51.89	2.42	-3.912	6.6939	19.11
SDSSJ112136.91+403040.6	170.403926	40.511304	0.099	0.072	137.8	44.11	4.1123	-3.396	6.2353	22.59
SDSSJ112354.76+352136.2	170.978358	35.36014	0.107	0.065	12.5	53.33	3.6679	-3.308	6.7207	21.66
SDSSJ112843.27+131145.6	172.180432	13.196157	0.103	0.065	79.2	52.22	3.8054	-3.522	6.5386	10.0
SDSSJ113143.27+400453.6	172.930167	40.081541	0.103	0.072	41.0	46.11	3.8326	-3.413	6.6446	23.74
SDSSJ113255.39+301141.9	173.230797	30.194952	0.109	0.067	162.3	53.73	3.5953	-3.572	6.5059	11.15
SDSSJ113624.49+125417.4	174.102245	12.904989	0.145	0.131	38.9	26.21	3.2678	-2.963	6.4913	18.61
SDSSJ115312.49+620936.5	178.301915	62.160248	0.094	0.069	39.3	43.2	2.7298	-3.804	5.9216	6.76
SDSSJ115459.78+455806.3	178.749042	45.968499	0.229	0.19	80.0	34.5	4.3398	-3.317	6.0992	25.23
SDSSJ115938.49+383241.1	179.91047	38.544782	0.153	0.108	70.6	46.27	3.947	-3.494	6.8803	22.57
SDSSJ122607.93+590604.7	186.533202	59.101444	0.086	0.07	19.3	36.35	4.3683	-3.455	6.7914	33.29
SDSSJ122810.45+292156.1	187.043479	29.365572	0.085	0.064	56.2	41.61	2.1684	-3.849	5.8025	11.58
SDSSJ125536.37+280413.1	193.90144	28.070343	0.135	0.081	162.7	54.59	4.4793	-3.095	6.2765	15.63
SDSSJ125958.83+680331.0	194.995114	68.058683	0.163	0.123	51.6	43.53	4.5301	-2.864	6.9259	39.21
SDSSJ132427.69+420625.2	201.115399	42.107155	0.183	0.139	1.0	41.36	3.6026	-3.146	6.9474	21.55
SDSSJ132510.66+602557.8	201.294308	60.432651	0.119	0.106	26.6	27.46	4.2144	-3.122	7.5195	29.35
SDSSJ133405.86+341118.0	203.524503	34.188468	0.098	0.067	109.5	48.26	3.8262	-3.421	6.9949	19.48
SDSSJ135544.14+581618.6	208.934073	58.271816	0.119	0.119	0.0	24.89	4.0937	-3.295	6.6196	28.8
SDSSJ140859.18+485204.5	212.246522	48.867939	0.092	0.054	107.9	55.94	3.5685	-3.242	6.305	6.54
SDSSJ141446.78+522545.0	213.694935	52.429287	0.094	0.073	90.4	39.98	3.2108	-3.615	6.0534	26.38
SDSSJ142407.06+261229.2	216.029466	26.208219	0.1	0.077	146.7	40.56	3.204	-3.723	6.7185	17.66
SDSSJ142626.12+351922.3	216.608779	35.322809	0.091	0.08	7.5	28.88	3.7447	-3.154	6.7164	22.16
SDSSJ142801.28+273207.7	217.005219	27.53557	0.131	0.084	168.6	51.53	2.0496	-3.73	5.5731	17.48
SDSSJ143716.49+392356.5	219.318606	39.39896	0.111	0.06	91.3	58.86	4.2885	-3.283	6.8737	14.89
SDSSJ143725.39+033938.6	219.355863	3.660769	0.086	0.065	14.8	41.12	3.5997	-3.561	6.3115	16.63
SDSSJ143854.60+114249.0	219.7275	11.713628	0.114	0.065	69.6	56.56	3.7609	-3.171	6.5015	10.27
SDSSJ144355.90+440353.8	220.983007	44.065034	0.093	0.058	93.0	52.1	4.1135	-3.352	6.4804	19.58
SDSSJ144628.97+025752.6	221.620898	2.964715	0.105	0.059	110.2	57.28	3.2536	-3.329	6.478	17.38
SDSSJ144802.13+450659.9	222.009015	45.116672	0.088	0.064	108.6	43.99	4.2753	-3.067	7.0363	25.89
SDSSJ144826.57+040433.9	222.110733	4.076116	0.142	0.087	175.7	53.6	3.3137	-3.549	6.1945	17.38
SDSSJ145035.21+342902.1	222.646786	34.483922	0.137	0.076	165.7	58.0	4.2698	-3.231	6.7361	22.14
SDSSJ145047.69+405633.1	222.69883	40.942488	0.087	0.072	95.2	34.57	3.9298	-3.792	6.6615	17.69
SDSSJ145430.96-014412.1	223.62912	-1.736714	0.088	0.066	107.5	41.73	2.1021	-3.104	6.4153	18.21
SDSSJ151135.49+373126.6	227.898209	37.52405	0.096	0.079	82.3	35.02	3.1996	-2.939	6.3095	8.0
SDSSJ151827.84+075315.1	229.61618	7.88753	0.228	0.228	0.0	23.93	3.3234	-3.016	7.0133	18.3
SDSSJ152154.71+085442.3	230.478151	8.911753	0.165	0.165	0.0	24.08	3.6559	-3.627	6.9056	18.25
SDSSJ152917.62-001832.6	232.323285	-0.309128	0.108	0.062	56.0	55.97	3.7423	-3.228	6.493	13.03
SDSSJ153701.48+254847.2	234.25619	25.813059	0.174	0.106	104.6	53.58	3.1971	-3.311	6.3402	20.1
SDSSJ154451.64+235935.9	236.215255	23.993336	0.089	0.059	51.5	49.54	3.7756	-3.448	6.3567	10.72
SDSSJ154457.67+214315.8	236.240184	21.72119	0.097	0.06	79.2	53.29	3.9923	-3.563	6.3032	6.17
SDSSJ154549.53+075950.6	236.456306	7.997482	0.085	0.064	48.6	42.46	3.4008	-3.532	6.8864	12.64
SDSSJ160254.79+354620.9	240.728312	35.772403	0.13	0.087	20.1	49.05	4.1888	-2.968	7.1023	17.79
SDSSJ160922.21+072408.4	242.342717	7.402375	0.106	0.057	92.1	58.85	3.9128	-2.83	6.5994	16.95
SDSSJ161005.46+194620.9	242.522749	19.772495	0.097	0.065	160.9	48.77	3.8153	-3.529	5.9813	19.67
SDSSJ161751.86+440916.2	244.46601	44.154474	0.088	0.074	103.0	33.01	3.4742	-3.453	6.2835	2.85
SDSSJ162631.40+314439.2	246.630852	31.744479	0.095	0.095	0.0	17.44	3.8911	-3.497	7.3378	13.23
SDSSJ162800.10+234618.7	247.00036	23.771759	0.099	0.057	130.3	56.22	2.6903	-3.638	5.8807	18.66
SDSSJ163129.05+203738.8	247.871127	20.627539	0.093	0.06	62.1	50.6	3.7521	-3.624	6.574	19.77
SDSSJ163244.45+204903.2	248.185326	20.817587	0.096	0.081	96.1	33.54	3.951	-3.181	6.145	6.93
SDSSJ163535.84+300746.7	248.89947	30.12955	0.114	0.102	63.7	27.79	3.8097	-3.217	6.8996	11.01
SDSSJ164105.80+280509.1	250.27425	28.085772	0.147	0.087	120.3	54.78	3.8126	-3.039	6.3913	5.83
SDSSJ165143.90+360951.3	252.932919	36.16425	0.105	0.072	33.3	47.77	1.6858	-3.656	5.4732	16.65
SDSSJ171001.82+603514.8	257.507694	60.587415	0.115	0.093	104.1	36.76	3.9903	-3.837	6.706	34.98
SDSSJ172348.99+272730.7	260.954172	27.458676	0.099	0.099	0.0	16.23	4.2541	-3.649	6.768	17.87
SDSSJ172513.33+622913.5	261.305566	62.487131	0.118	0.077	84.6	50.19	4.4758	-3.379	6.7269	20.67
SDSSJ085449.69+180323.3	133.706973	18.05644	0.096	0.068	52.7	45.56	1.411	-3.621	5.5957	18.23
SDSSJ110341.25+154636.7	165.922069	15.77683	0.194	0.151	54.6	39.54	2.789	-3.024	6.1241	18.11
SDSSJ162612.89+380518.2	246.55392	38.088308	0.083	0.057	156.6	47.76	4.259	-3.598	7.2322	22.69
SDSSJ092104.78+382717.6	140.26985	38.454977	0.097	0.081	86.2	33.51	2.946	-3.711	6.271	22.91
SDSSJ144317.13+291403.2	220.821537	29.234111	0.083	0.065	175.7	39.3	3.7497	-3.27	6.835	17.98
SDSSJ082140.85+562901.1	125.420329	56.483728	0.08	0.063	74.3	38.67	3.0699	-3.625	6.0884	23.8
SDSSJ095520.33+270906.2	148.834815	27.151797	0.07	0.058	129.8	34.12	2.4269	-3.546	6.2091	20.44
SDSSJ163526.20+152140.9	248.859354	15.3614	0.08	0.059	36.9	43.47	3.1982	-3.644	6.2472	9.13
SDSSJ162859.02+143211.9	247.245772	14.536633	0.08	0.08	0.0	17.59	2.7103	-3.417	6.0989	6.2
SDSSJ123720.94+152219.9	189.337333	15.372354	0.06	0.053	6.9	28.35	3.1053	-3.421	6.1269	15.36
SDSSJ160004.29+422112.9	240.018013	42.353677	0.082	0.066	131.5	37.22	3.8774	-3.601	6.6453	24.42
SDSSJ115147.15+574908.2	177.946652	57.818922	0.077	0.077	0.0	22.82	3.0504	-3.759	6.2488	5.06
SDSSJ135713.42+343909.8	209.306107	34.652661	0.081	0.06	133.5	43.08	3.3828	-3.683	6.3261	11.54
SDSSJ150246.85+335918.2	225.695305	33.988366	0.067	0.055	178.7	35.54	4.2336	-3.546	7.0526	17.47
SDSSJ084333.19+243357.6	130.888157	24.566129	0.081	0.068	113.9	34.15	2.0178	-3.879	5.7227	20.05
SDSSJ084008.34+490337.9	130.03488	49.060706	0.065	0.056	25.6	32.3	3.2448	-3.721	6.39	25.06
SDSSJ100939.20+391319.8	152.413447	39.222254	0.086	0.073	52.0	32.87	3.1488	-2.881	6.2304	21.81
SDSSJ083623.73+142347.4	129.098772	14.396628	0.103	0.069	129.3	49.27	1.5674	-3.853	5.6255	15.25
SDSSJ102146.92+200751.6	155.445555	20.131167	0.072	0.063	125.3	29.22	2.7652	-3.707	6.2396	13.81
SDSSJ085551.01+131043.8	133.962744	13.178835	0.153	0.129	98.8	33.34	1.5815	-4.143	5.8865	12.18
SDSSJ080627.57+441832.1	121.615087	44.308984	0.075	0.075	0.0	25.5	3.3359	-3.583	6.5821	25.63
SDSSJ155630.36+061834.7	239.126637	6.309794	0.068	0.058	94.2	30.79	2.9832	-3.393	6.0057	18.17
SDSSJ033027.28-055702.9	52.613601	-5.950898	0.074	0.062	92.5	34.13	0.8886	-4.263	5.0755	7.99
SDSSJ082539.46+494127.4	126.414416	49.691026	0.081	0.081	0.0	14.36	2.8644	-3.814	6.2982	25.49
SDSSJ171144.82+614550.3	257.936838	61.764047	0.071	0.058	132.9	35.64	4.5107	-3.734	6.5919	34.64
SDSSJ153254.71+080128.2	233.227877	8.02443	0.071	0.053	130.8	42.39	3.2881	-3.604	6.3315	10.89
SDSSJ143838.40+131355.2	219.659931	13.23204	0.068	0.055	34.8	35.77	3.3183	-3.418	6.4477	15.68
SDSSJ144628.00+334611.7	221.616782	33.769973	0.075	0.066	55.5	30.01	4.1633	-3.316	6.1355	15.82
SDSSJ152727.52-005302.3	231.86463	-0.883938	0.076	0.065	159.0	31.95	2.5264	-3.961	6.0513	10.96
SDSSJ150601.92-014435.3	226.508196	-1.74298	0.063	0.063	0.0	23.21	4.4353	-3.4	6.5991	18.36
SDSSJ214427.79+004022.5	326.115914	0.672989	0.079	0.051	45.9	50.82	1.0847	-4.332	5.5467	15.28
SDSSJ140537.88+110603.6	211.408046	11.101136	0.081	0.068	136.4	33.93	3.4245	-3.749	6.2214	6.52
SDSSJ125711.90+514038.3	194.299553	51.67725	0.083	0.072	59.1	30.37	4.2927	-3.176	6.4018	25.98
SDSSJ104549.66+493344.9	161.457011	49.562588	0.08	0.06	99.7	42.21	3.6735	-3.283	6.8848	11.53
SDSSJ143055.25+462152.4	217.73028	46.364515	0.072	0.065	178.1	27.05	3.2976	-3.028	6.586	23.88
SDSSJ162654.95+310420.9	246.729156	31.072592	0.068	0.068	0.0	18.37	4.006	-3.515	6.2954	8.35
SDSSJ141504.46+500848.4	213.768672	50.146962	0.058	0.037	162.7	52.38	4.166	-3.356	6.566	27.59
SDSSJ140510.89+524833.1	211.295411	52.809301	0.11	0.11	0.0	17.44	4.1018	-3.285	7.1376	25.0
SDSSJ143306.25+301123.9	218.276019	30.189755	0.078	0.07	11.4	26.2	3.8765	-3.496	7.2947	8.14
SDSSJ100734.38+120428.8	151.893461	12.074717	0.147	0.113	2.8	40.52	1.9521	-3.891	5.7053	8.64
SDSSJ153231.38+393613.6	233.130713	39.603827	0.076	0.076	0.0	24.81	4.2231	-3.696	6.7884	23.09
SDSSJ152337.65+223122.2	230.906979	22.522923	0.117	0.082	72.5	46.38	4.0121	-3.444	7.0631	16.9
SDSSJ160737.31+180000.5	241.905474	18.000245	0.107	0.068	115.2	51.83	3.62	-2.971	6.2623	19.13
SDSSJ113753.88+365405.4	174.474577	36.901503	0.093	0.052	109.9	57.7	3.5356	-3.347	6.8433	22.39
SDSSJ124210.99+332124.5	190.545867	33.356982	0.092	0.064	154.3	46.42	3.6085	-3.602	6.6624	17.18
SDSSJ095342.62+563027.3	148.427447	56.507635	0.081	0.069	105.0	31.17	3.5942	-3.387	6.4318	24.97
SDSSJ211025.92-072146.6	317.608027	-7.362986	0.074	0.074	0.0	39.97	1.4265	-4.16	5.4584	5.9
SDSSJ143754.99+014736.9	219.479118	1.793592	0.066	0.066	0.0	10.58	3.7227	-3.373	6.5446	16.34
SDSSJ135643.18-014209.6	209.179854	-1.702665	0.058	0.047	37.4	36.14	2.449	-3.853	6.2491	18.29
SDSSJ160800.41+200541.0	242.001611	20.094846	0.138	0.138	0.0	24.6	3.754	-2.772	6.4687	15.01
SDSSJ100333.46+112946.8	150.889603	11.49652	0.094	0.056	158.7	54.31	2.1285	-3.646	6.0063	16.71
SDSSJ103848.06+142045.7	159.70014	14.346203	0.172	0.116	178.4	48.5	2.1242	-3.694	6.4516	18.62
SDSSJ161653.31+151646.8	244.222185	15.279669	0.18	0.123	82.7	47.89	2.7588	-3.121	6.9195	17.32
SDSSJ095523.59+342202.2	148.848297	34.367357	0.166	0.139	117.8	33.7	3.3674	-2.978	7.3034	11.52
SDSSJ143902.72+240707.1	219.761533	24.118815	0.139	0.088	114.9	51.98	4.054	-3.336	6.7349	19.5
SDSSJ170006.57+222454.0	255.027348	22.414947	0.079	0.059	72.0	42.33	4.1657	-3.395	6.7688	20.08
SDSSJ155739.47+340037.3	239.414483	34.010468	0.127	0.127	0.0	13.54	3.8872	-3.26	6.3147	20.48
SDSSJ145219.18+404415.2	223.080084	40.737632	0.113	0.086	153.2	41.9	3.3843	-3.612	6.5732	18.85
SDSSJ095153.34+330012.9	147.972296	33.003632	0.12	0.106	124.4	28.79	3.0855	-3.135	6.535	13.64
SDSSJ093741.13+204218.0	144.421481	20.7052	0.07	0.07	0.0	25.44	1.7711	-3.854	5.7827	19.5
SDSSJ115130.69+110339.9	177.878028	11.0611	0.085	0.066	102.9	40.05	1.7025	-3.664	5.7402	13.77
SDSSJ075833.55+391315.0	119.639755	39.220813	0.087	0.055	169.5	51.64	2.2256	-3.741	5.8979	23.69
SDSSJ163759.08+444436.9	249.496472	44.743621	0.091	0.081	80.9	27.32	4.5908	-3.134	6.8827	25.04
SDSSJ074045.95+375407.5	115.191717	37.901999	0.062	0.05	34.2	36.58	2.9495	-3.627	6.9107	11.6
SDSSJ131522.44+461604.2	198.843471	46.267886	0.16	0.138	44.7	30.81	4.0803	-3.341	6.9829	25.13
SDSSJ112342.61+551941.1	170.927717	55.328268	0.142	0.121	141.5	32.18	3.8617	-3.052	6.2311	27.28
SDSSJ111731.73+413226.9	169.382357	41.540964	0.119	0.079	175.2	49.41	3.7889	-3.368	5.8981	18.16
SDSSJ093940.52+343252.4	144.919137	34.548039	0.063	0.047	100.9	42.92	3.2111	-3.098	6.3293	21.11
SDSSJ130923.79+112210.0	197.349116	11.369452	0.067	0.041	21.1	52.79	2.5636	-3.816	6.3265	18.03
SDSSJ100428.14+373215.8	151.117272	37.537764	0.145	0.127	55.4	29.12	3.1118	-2.991	7.3904	2.63
SDSSJ144452.42+061259.9	221.218472	6.216599	0.064	0.064	0.0	24.54	3.1059	-3.75	6.589	17.5
SDSSJ151806.55+504910.0	229.527351	50.819523	0.067	0.067	0.0	51.94	4.5821	-3.698	7.0111	19.6
SDSSJ154850.72+195048.4	237.211229	19.846771	0.086	0.086	0.0	27.79	3.5694	-3.415	6.3108	18.11
SDSSJ102953.53+103212.5	157.473093	10.536868	0.073	0.073	0.0	33.09	1.8765	-3.575	6.3472	15.61
SDSSJ083043.20+311126.4	127.680106	31.190689	0.126	0.126	0.0	50.96	2.7372	-3.478	6.3513	16.74
SDSSJ152846.97+413425.9	232.19571	41.57386	0.07	0.07	0.0	29.31	4.2254	-3.128	6.3792	23.72
SDSSJ075055.91+410505.6	117.732963	41.084841	0.088	0.068	99.9	40.28	2.6673	-3.856	7.0707	17.21
SDSSJ075906.01+123859.6	119.775117	12.649925	0.083	0.072	106.9	30.34	1.3581	-4.063	6.3624	8.75
SDSSJ153401.72+035505.9	233.507258	3.918256	0.079	0.064	103.2	36.5	3.5487	-3.118	6.3178	9.4
SDSSJ232138.68-093230.2	350.41141	-9.541899	0.083	0.057	125.3	47.13	1.4375	-3.956	6.068	8.64
SDSSJ013957.75-084355.4	24.990692	-8.732056	0.073	0.073	0.0	7.01	1.0551	-4.257	6.7514	13.89
SDSSJ145920.58+321929.3	224.835834	32.324838	0.084	0.084	0.0	12.79	4.2578	-3.308	7.9428	7.03
SDSSJ092404.01+091129.9	141.01659	9.191624	0.061	0.044	118.7	45.07	1.4756	-4.314	6.2489	2.45
SDSSJ095049.05+191635.5	147.704319	19.276482	0.062	0.054	45.6	30.14	2.3218	-3.894	6.5795	16.89
SDSSJ093621.84+455240.9	144.091032	45.877989	0.074	0.054	148.3	44.13	3.5645	-3.65	6.9229	25.35
